"date","new_deaths","new_deaths1","MAD"
2021-03-28,0,0,NA
2021-03-27,0,0,NA
2021-03-26,144,144,NA
2021-03-25,0,0,NA
2021-03-24,0,0,NA
2021-03-23,42,42,NA
2021-03-22,0,0,NA
2021-03-21,0,0,46.7857142857143
2021-03-20,0,0,46.7857142857143
2021-03-19,348,348,49.1071428571428
2021-03-18,0,0,51.4285714285714
2021-03-17,0,0,51.4285714285714
2021-03-16,121,121,55.6428571428571
2021-03-15,0,0,59.8571428571429
2021-03-14,0,0,59.8571428571429
2021-03-13,0,0,59.8571428571429
2021-03-12,209,209,74.2857142857143
2021-03-11,0,0,88.7142857142857
2021-03-10,0,0,88.7142857142857
2021-03-09,160,160,63.0357142857143
2021-03-08,0,0,39.1071428571428
2021-03-07,0,0,43
2021-03-06,0,0,47.0714285714286
2021-03-05,752,752,43.5714285714286
2021-03-04,0,0,41
2021-03-03,0,0,46.5714285714286
2021-03-02,-598,-598,47.0714285714286
2021-03-01,49,49,46.9285714285714
2021-02-28,60,60,51.3928571428571
2021-02-27,54,54,55.7857142857143
2021-02-26,57,57,33.8571428571428
2021-02-25,80,80,13.4285714285714
2021-02-24,76,76,19.0714285714286
2021-02-23,98,98,44.6785714285714
2021-02-22,58,58,68.1071428571429
2021-02-21,67,67,66.1428571428571
2021-02-20,56,56,105.285714285714
2021-02-19,82,82,235.714285714286
2021-02-18,98,98,347.964285714286
2021-02-17,60,60,370.392857142857
2021-02-16,59,59,369.928571428571
2021-02-15,48,48,369.142857142857
2021-02-14,6,6,366.214285714286
2021-02-13,1204,1204,364.964285714286
2021-02-12,2559,2559,365.107142857143
2021-02-11,721,721,363.678571428571
2021-02-10,63,63,364.142857142857
2021-02-09,98,98,366.964285714286
2021-02-08,36,36,368.892857142857
2021-02-07,7,7,370.857142857143
2021-02-06,81,81,331.392857142857
2021-02-05,61,61,201.214285714286
2021-02-04,79,79,89.1428571428571
2021-02-03,92,92,66.5
2021-02-02,106,106,66.5714285714286
2021-02-01,55,55,66.9642857142857
2021-01-31,54,54,68.5714285714286
2021-01-30,51,51,69.4285714285714
2021-01-29,67,67,70.1428571428571
2021-01-28,75,75,71.9285714285714
2021-01-27,75,75,72.3214285714286
2021-01-26,88,88,69.8214285714286
2021-01-25,57,57,68.9285714285714
2021-01-24,31,31,70.25
2021-01-23,81,81,71.6071428571429
2021-01-22,81,81,72.5714285714286
2021-01-21,109,109,73.7857142857143
2021-01-20,73,73,75.1428571428572
2021-01-19,55,55,75.7142857142857
2021-01-18,81,81,76.7857142857143
2021-01-17,65,65,77.3214285714286
2021-01-16,78,78,76.2857142857143
2021-01-15,67,67,75.3928571428571
2021-01-14,109,109,74.8928571428571
2021-01-13,79,79,76.0714285714286
2021-01-12,100,100,79.5357142857143
2021-01-11,75,75,80.7857142857143
2021-01-10,28,28,80.0714285714286
2021-01-09,55,55,79.0357142857143
2021-01-08,82,82,75.8214285714286
2021-01-07,94,94,74.4285714285714
2021-01-06,121,121,78.4285714285714
2021-01-05,104,104,84.3214285714286
2021-01-04,67,67,87.8214285714286
2021-01-03,59,59,89.6785714285714
2021-01-02,55,55,90.75
2021-01-01,0,0,88.7142857142857
